DISTRICT,SUB-DISTRICTS,STATE,AREA-KM2,POPULATION,LITERACY-PCT
Muzaffarpur,Blocks,Bihar,3172,4801062,63.43
Mysore,Talukas,Karnataka,6307,3001127,72.79
Nabarangapur,Blocks,Odisha,5291,1220946,46.43
Nadia,Blocks,West Bengal,3927,5167600,74.97
Nagaon,Circles,Assam,3973,2823768,72.37
Nagapattinam,Talukas,Tamil Nadu,2569,1616450,83.59
Nagaur,Tehsils,Rajasthan,17718,3307743,62.8
Nagpur,Talukas,Maharashtra,9892,4653570,88.39
Nainital,Tehsils,Uttarakhand,4251,954605,83.88
Nalanda,Blocks,Bihar,2355,2877653,64.43
Nalbari,Circles,Assam,1052,771639,78.63
Nalgonda,Mandals,Andhra Pradesh,14240,3488809,64.2
Namakkal,Talukas,Tamil Nadu,3420,1726601,74.63
Nanded,Talukas,Maharashtra,10528,3361292,75.45
Nandurbar,Talukas,Maharashtra,5955,1648295,64.38
Narayanpur,Tehsils,Chhattisgarh,4653,139820,48.62
Narmada,Talukas,Gujarat,2817,590297,72.31
Narsimhapur,Tehsils,Madhya Pradesh,5133,1091854,75.69
Nashik,Talukas,Maharashtra,15530,6107187,82.31
Navsari,Talukas,Gujarat,2246,1329672,83.88
Nawada,Blocks,Bihar,2494,2219146,59.76
Nayagarh,Blocks,Odisha,3890,962789,80.42
Neemuch,Tehsils,Madhya Pradesh,4256,826067,70.8
New Delhi,Tehsils,Delhi,35,142004,88.34
Nicobars,Tehsils,Andaman and Nicobar,1841,36842,78.06
Nizamabad,Mandals,Andhra Pradesh,7956,2551335,61.25
North,Tehsils,Delhi,61,887978,86.85
North & Middle Andaman,Tehsils,Andaman and Nicobar,3736,105597,83.91
North District,Sub-Divisions,Sikkim,4226,43709,78.01
North East,Tehsils,Delhi,62,2241624,83.09
North Goa,Talukas,Goa,1736,818008,89.57
North Tripura,Blocks,Tripura,2036,693947,87.5
North Twenty Four Parganas,Blocks,West Bengal,4094,10009781,84.06
North West,Tehsils,Delhi,443,3656539,84.45
Nuapada,Blocks,Odisha,3852,610382,57.35
Osmanabad,Talukas,Maharashtra,7569,1657576,78.44
Pakur,Blocks,Jharkhand,1811,900422,48.82
Palakkad,Talukas,Kerala,4482,2809934,89.31
Palamu,Blocks,Jharkhand,4393,1939869,63.63
Pali,Tehsils,Rajasthan,12387,2037573,62.39
